timestamps,code,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2024-11-25,2119,14.57,14.62,14.97,14.16,14.53,234799.0,340339000.0,15.01,14.98,14.915000000000004,14.42,12.75,51.67,0.42,0.58,-0.16,康强电子,计算机、通信和其他电子设备制造业,主板,15.0275,14.740000000000007,15.131666666666652,14.993750000000055,13.344255319148946,0
2024-11-26,2119,14.5,14.35,14.83,14.3,14.62,156377.0,227424000.0,14.89,14.81,14.916500000000005,14.47,12.81,49.62,0.35,0.53,-0.18,康强电子,计算机、通信和其他电子设备制造业,主板,14.724999999999998,14.660000000000013,15.037499999999987,14.996250000000051,13.427446808510648,0
2024-11-27,2119,14.17,14.57,14.58,13.82,14.35,193335.0,274054000.0,14.69,14.68,14.918000000000005,14.53,12.88,51.32,0.31,0.49,-0.18,康强电子,计算机、通信和其他电子设备制造业,主板,14.5175,14.693750000000016,14.889166666666654,14.990000000000055,13.517659574468093,0
2024-11-28,2119,14.44,15.27,15.5,14.24,14.57,428452.0,644589000.0,14.67,14.71,14.907000000000002,14.62,12.96,56.35,0.33,0.46,-0.13,康强电子,计算机、通信和其他电子设备制造业,主板,14.7025,14.905000000000015,14.828333333333326,15.025625000000057,13.626808510638304,0
2024-11-29,2119,15.0,15.33,15.51,14.81,15.27,337604.0,512811000.0,14.83,14.82,14.970999999999998,14.68,13.04,56.76,0.35,0.44,-0.09,康强电子,计算机、通信和其他电子设备制造业,主板,14.88,14.953750000000015,14.786666666666653,15.068750000000056,13.7372340425532,0
2024-12-02,2119,15.3,15.4,15.45,15.2,15.33,254239.0,390228000.0,14.98,15.0,15.0255,14.74,13.12,57.27,0.35,0.42,-0.07,康强电子,计算机、通信和其他电子设备制造业,主板,15.1425,14.933750000000016,14.820833333333326,15.063750000000056,13.844680851063838,0
2024-12-03,2119,15.4,15.52,15.59,15.12,15.4,267525.0,411752000.0,15.22,15.05,15.067999999999998,14.8,13.2,58.18,0.37,0.41,-0.04,康强电子,计算机、通信和其他电子设备制造业,主板,15.38,14.948750000000016,14.92249999999999,15.011875000000057,13.954255319148944,0
2024-12-04,2119,16.04,15.07,16.29,15.0,15.52,374919.0,588256000.0,15.32,15.01,15.086499999999996,14.85,13.27,53.59,0.35,0.4,-0.05,康强电子,计算机、通信和其他电子设备制造业,主板,15.330000000000002,15.016250000000015,15.046666666666653,14.953750000000054,14.054893617021284,0
2024-12-05,2119,14.92,15.09,15.24,14.92,15.07,207175.0,312726000.0,15.28,14.98,15.108999999999998,14.9,13.35,53.76,0.32,0.38,-0.06,康强电子,计算机、通信和其他电子设备制造业,主板,15.270000000000003,15.075000000000015,15.059166666666654,14.907500000000056,14.14978723404256,0
2024-12-06,2119,15.08,15.15,15.29,14.73,15.09,213327.0,320182000.0,15.25,15.04,15.092499999999996,14.94,13.42,54.32,0.3,0.37,-0.07,康强电子,计算机、通信和其他电子设备制造业,主板,15.207500000000003,15.175000000000017,15.02499999999999,14.917500000000055,14.24595744680852,0
2024-12-09,2119,15.08,14.98,15.22,14.81,15.15,138869.0,208127000.0,15.16,15.07,15.023999999999996,14.97,13.49,52.4,0.28,0.35,-0.07,康强电子,计算机、通信和其他电子设备制造业,主板,15.072500000000003,15.226250000000016,14.989999999999988,14.960000000000052,14.331702127659582,0
2024-12-10,2119,15.42,15.06,15.42,15.05,14.98,185896.0,282719000.0,15.07,15.14,14.976999999999997,14.99,13.57,53.24,0.25,0.33,-0.08,康强电子,计算机、通信和其他电子设备制造业,主板,15.070000000000006,15.200000000000015,15.034166666666652,15.052500000000052,14.408510638297876,0
2024-12-11,2119,14.97,15.14,15.38,14.97,15.06,140056.0,212265000.0,15.08,15.2,14.942499999999995,15.01,13.64,54.11,0.24,0.31,-0.07,康强电子,计算机、通信和其他电子设备制造业,主板,15.082500000000003,15.176250000000016,15.077499999999985,15.065000000000053,14.462765957446814,0
2024-12-12,2119,15.16,15.08,15.16,14.8,15.14,147821.0,221552000.0,15.08,15.18,14.946999999999996,15.0,13.72,53.3,0.23,0.29,-0.06,康强电子,计算机、通信和其他电子设备制造业,主板,15.065000000000005,15.136250000000016,15.13833333333332,15.03500000000005,14.488936170212767,0
2024-12-13,2119,14.95,14.68,14.99,14.61,15.08,160356.0,237110000.0,14.99,15.12,14.965999999999996,15.02,13.79,48.19,0.18,0.27,-0.09,康强电子,计算机、通信和其他电子设备制造业,主板,14.990000000000002,15.031250000000016,15.147499999999988,14.99000000000005,14.504468085106389,0
2024-12-16,2119,14.65,14.42,14.77,14.3,14.68,111177.0,161311000.0,14.88,15.02,15.007999999999996,15.02,13.86,45.15,0.11,0.24,-0.13,康强电子,计算机、通信和其他电子设备制造业,主板,14.830000000000002,14.950000000000015,15.076666666666654,14.983125000000047,14.529574468085109,0
2024-12-17,2119,14.41,14.05,14.6,14.01,14.42,109744.0,156354000.0,14.67,14.87,14.963499999999994,15.0,13.92,41.18,0.04,0.2,-0.16,康强电子,计算机、通信和其他电子设备制造业,主板,14.5575,14.820000000000016,14.969999999999985,14.94750000000005,14.563617021276595,0
2024-12-18,2119,14.19,14.83,14.99,13.91,14.05,248246.0,362666000.0,14.61,14.85,14.926999999999996,15.01,14.0,50.97,0.04,0.17,-0.13,康强电子,计算机、通信和其他电子设备制造业,主板,14.495,14.78000000000002,14.922499999999989,14.97750000000005,14.605744680851064,0
2024-12-19,2119,14.55,14.72,14.84,14.48,14.83,158145.0,231945000.0,14.54,14.81,14.892999999999995,15.01,14.07,49.72,0.02,0.14,-0.12,康强电子,计算机、通信和其他电子设备制造业,主板,14.505,14.747500000000016,14.85583333333332,14.986875000000053,14.649148936170215,0
2024-12-20,2119,14.69,15.3,15.45,14.62,14.72,305298.0,463403000.0,14.66,14.83,14.9315,15.0,14.16,55.9,0.06,0.12,-0.06,康强电子,计算机、通信和其他电子设备制造业,主板,14.725,14.777500000000016,14.874999999999988,14.988750000000053,14.70404255319149,0
2024-12-23,2119,15.16,14.9,15.36,14.8,15.3,220196.0,332134000.0,14.76,14.82,14.9455,14.96,14.23,51.22,0.07,0.11,-0.04,康强电子,计算机、通信和其他电子设备制造业,主板,14.937500000000004,14.747500000000016,14.859166666666653,14.96187500000005,14.751063829787231,0
2024-12-24,2119,15.15,16.39,16.39,15.03,14.9,494701.0,777173000.0,15.23,14.95,15.047499999999996,14.97,14.33,63.47,0.18,0.13,0.05,康强电子,计算机、通信和其他电子设备制造业,主板,15.327500000000004,14.91125000000002,14.96249999999999,15.023750000000051,14.814680851063828,0
2024-12-25,2119,16.36,15.77,16.88,15.74,16.39,729622.0,1186630000.0,15.42,15.01,15.107499999999996,14.97,14.41,57.05,0.22,0.14,0.08,康强电子,计算机、通信和其他电子设备制造业,主板,15.590000000000003,15.047500000000015,15.028333333333324,15.039375000000051,14.857659574468084,0
2024-12-26,2119,15.69,15.92,16.12,15.42,15.77,449647.0,713173000.0,15.66,15.1,15.139999999999995,15.0,14.5,58.16,0.27,0.17,0.1,康强电子,计算机、通信和其他电子设备制造业,主板,15.745000000000005,15.235000000000015,15.099999999999987,15.09250000000005,14.904255319148936,0
2024-12-27,2119,15.82,16.75,17.51,15.82,15.92,1034080.0,1767220000.0,15.95,15.31,15.211,15.08,14.59,63.71,0.36,0.21,0.15,康强电子,计算机、通信和其他电子设备制造业,主板,16.207500000000003,15.572500000000018,15.234166666666658,15.19625000000005,14.973191489361698,0
2024-12-30,2119,16.42,16.49,17.1,16.25,16.75,807400.0,1343660000.0,16.26,15.51,15.2655,15.18,14.65,60.98,0.4,0.25,0.15,康强电子,计算机、通信和其他电子设备制造业,主板,16.2325,15.780000000000015,15.351666666666658,15.280000000000047,15.03723404255319,0
2024-12-31,2119,16.48,15.48,16.49,15.43,16.49,512563.0,810836000.0,16.08,15.66,15.263500000000002,15.19,14.68,51.71,0.36,0.27,0.09,康强电子,计算机、通信和其他电子设备制造业,主板,16.160000000000004,15.875000000000016,15.418333333333322,15.311250000000047,15.067021276595742,0
2025-01-02,2119,15.51,14.47,15.6,14.28,15.48,402383.0,593875000.0,15.82,15.62,15.233500000000005,15.16,14.69,44.43,0.24,0.26,-0.02,康强电子,计算机、通信和其他电子设备制造业,主板,15.797500000000005,15.771250000000016,15.42249999999999,15.274375000000049,15.074042553191488,0
2025-01-03,2119,14.52,15.48,15.92,13.89,14.47,860154.0,1317560000.0,15.73,15.69,15.253000000000004,15.16,14.72,51.74,0.22,0.25,-0.03,康强电子,计算机、通信和其他电子设备制造业,主板,15.480000000000004,15.843750000000016,15.541666666666654,15.29562500000005,15.098723404255312,0
